epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.63171,1.12618,3.10774,1.51303,0.01068,1,0.45625,0.32146,0.56627,3.57162,1.1271,5.716e-05,5.716e-05,5.716e-05
2,9.21653,1.07615,3.10035,1.5764,0.01027,1,0.995,0.69675,0.6444,3.53639,1.17041,0.000127337,0.000127337,0.000127337
3,14.6826,1.06998,2.96446,1.59758,0.01042,1,0.995,0.68552,0.58338,3.56763,1.16637,0.000196099,0.000196099,0.000196099
4,21.1537,0.99968,2.71707,1.38573,0.00943,1,0.995,0.67811,0.7504,3.47218,1.24585,0.000263446,0.000263446,0.000263446
5,27.1854,1.04833,2.43334,1.46971,0.00926,1,0.995,0.697,0.74394,3.49934,1.27751,0.000329379,0.000329379,0.000329379
6,32.6082,0.92129,2.38187,1.40027,0.00882,1,0.995,0.71375,0.87859,3.27036,1.40711,0.000393897,0.000393897,0.000393897
7,37.941,0.90415,2.21248,1.34957,0.00855,1,0.995,0.77433,0.84619,3.2844,1.36691,0.000457,0.000457,0.000457
8,43.613,0.94476,2.1841,1.43961,0.00855,1,0.995,0.77433,0.84619,3.2844,1.36691,0.000518688,0.000518688,0.000518688
9,49.1481,0.93403,1.8722,1.32049,0.00804,1,0.995,0.8295,0.81725,3.18894,1.30312,0.000578962,0.000578962,0.000578962
10,54.5541,0.9744,1.90601,1.37935,0.00769,1,0.9125,0.6475,0.78313,3.06961,1.33832,0.000637821,0.000637821,0.000637821
11,59.8769,1.0158,2.13982,1.53607,0.00769,1,0.9125,0.6475,0.78313,3.06961,1.33832,0.000695266,0.000695266,0.000695266
12,65.128,0.94104,1.67742,1.42991,0.81897,0.66667,0.863,0.53573,0.93196,3.16303,1.47738,0.000751295,0.000751295,0.000751295
13,70.4026,1.00105,2.09538,1.50052,0.81897,0.66667,0.863,0.53573,0.93196,3.16303,1.47738,0.00080591,0.00080591,0.00080591
14,75.576,0.98631,2.09397,1.50391,0.81897,0.66667,0.863,0.53573,0.93196,3.16303,1.47738,0.000859111,0.000859111,0.000859111
15,81.2133,0.93213,1.77671,1.40474,0.95892,0.66667,0.83,0.52575,1.05444,2.9143,1.57774,0.000910896,0.000910896,0.000910896
16,86.7304,1.10188,1.83066,1.45834,0.95892,0.66667,0.83,0.52575,1.05444,2.9143,1.57774,0.000961267,0.000961267,0.000961267
17,92.1863,0.94309,1.82461,1.33457,0.95892,0.66667,0.83,0.52575,1.05444,2.9143,1.57774,0.00101022,0.00101022,0.00101022
